Year,Month,Factor_Category,Factor_Name,Count
2023,Jan,Тип ПО,прикладное по информационных систем,330
2023,Feb,Тип ПО,прикладное по информационных систем,335
2023,Mar,Тип ПО,прикладное по информационных систем,328
2023,Apr,Тип ПО,прикладное по информационных систем,340
2023,May,Тип ПО,прикладное по информационных систем,324
2023,Jun,Тип ПО,прикладное по информационных систем,340
2023,Jan,Тип ПО,операционная система,280
2023,Feb,Тип ПО,операционная система,290
2023,Mar,Тип ПО,операционная система,285
2023,Apr,Тип ПО,операционная система,279
2023,May,Тип ПО,операционная система,282
2023,Jun,Тип ПО,операционная система,295
2023,Jan,Тип ошибки,cwe-20,80
2023,Feb,Тип ошибки,cwe-20,90
2023,Mar,Тип ошибки,cwe-20,85
2023,Apr,Тип ошибки,cwe-20,82
2023,May,Тип ошибки,cwe-20,88
2023,Jun,Тип ошибки,cwe-20,84
2023,Jan,Тип ошибки,cwe-787,45
2023,Feb,Тип ошибки,cwe-787,50
2023,Mar,Тип ошибки,cwe-787,42
2023,Apr,Тип ошибки,cwe-787,48
2023,May,Тип ошибки,cwe-787,46
2023,Jun,Тип ошибки,cwe-787,50
2024,Jan,Тип ПО,операционная система,520
2024,Feb,Тип ПО,операционная система,515
2024,Mar,Тип ПО,операционная система,525
2024,Apr,Тип ПО,операционная система,530
2024,May,Тип ПО,операционная система,510
2024,Jun,Тип ПО,операционная система,525
2024,Jan,Тип ПО,прикладное по информационных систем,480
2024,Feb,Тип ПО,прикладное по информационных систем,490
2024,Mar,Тип ПО,прикладное по информационных систем,475
2024,Apr,Тип ПО,прикладное по информационных систем,488
2024,May,Тип ПО,прикладное по информационных систем,476
2024,Jun,Тип ПО,прикладное по информационных систем,490
2024,Jan,Тип ошибки,cwe-20,85
2024,Feb,Тип ошибки,cwe-20,88
2024,Mar,Тип ошибки,cwe-20,82
2024,Apr,Тип ошибки,cwe-20,90
2024,May,Тип ошибки,cwe-20,83
2024,Jun,Тип ошибки,cwe-20,87
2024,Jan,Тип ошибки,CWE-79,70
2024,Feb,Тип ошибки,CWE-79,75
2024,Mar,Тип ошибки,CWE-79,68
2024,Apr,Тип ошибки,CWE-79,72
2024,May,Тип ошибки,CWE-79,73
2024,Jun,Тип ошибки,CWE-79,74
2025,Jan,Тип ПО,операционная система,452
2025,Feb,Тип ПО,операционная система,440
2025,Mar,Тип ПО,операционная система,435
2025,Apr,Тип ПО,операционная система,445
2025,May,Тип ПО,операционная система,424
2025,Jun,Тип ПО,операционная система,450
2025,Jan,Тип ПО,прикладное по информационных систем,430
2025,Feb,Тип ПО,прикладное по информационных систем,439
2025,Mar,Тип ПО,прикладное по информационных систем,421
2025,Apr,Тип ПО,прикладное по информационных систем,442
2025,May,Тип ПО,прикладное по информационных систем,433
2025,Jun,Тип ПО,прикладное по информационных систем,430
2025,Jan,Тип ошибки,CWE-79,88
2025,Feb,Тип ошибки,CWE-79,82
2025,Mar,Тип ошибки,CWE-79,80
2025,Apr,Тип ошибки,CWE-79,91
2025,May,Тип ошибки,CWE-79,85
2025,Jun,Тип ошибки,CWE-79,82
2025,Jan,Тип ошибки,cwe-119,60
2025,Feb,Тип ошибки,cwe-119,65
2025,Mar,Тип ошибки,cwe-119,68
2025,Apr,Тип ошибки,cwe-119,59
2025,May,Тип ошибки,cwe-119,63
2025,Jun,Тип ошибки,cwe-119,60
